words,love,disgust,courage,fear,anger,laughter,surprise,sorrow,peace
acceptance,1,0,1,0,0,0,0,0,0
admiration,0.8,0,0.3,0,0,0.2,0.1,0,0.8
adoration,0.9,0,0.1,0,0,0.3,0.1,0,0.9
affection,1,0,0,0,0,0.4,0.1,0,1
afraid,0,0.3,0.3,1,0.3,0,0,0.3,0
aggravation,0.1,0.2,0.6,0.3,0.2,0,0,0,0.2
aggressive,0,0.4,0.3,0.2,1,0,0,0,0
agitation,0,0.5,0.2,0.3,0.4,0,0,0.1,0
agony,0,0.7,0.5,0.5,0.5,0,0,0.3,0
agreeable,0.4,0,0.8,0,0,0.2,0.1,0,0.8
alarm,0,0.3,0.1,0.7,0.2,0,0.1,0.2,0
alienation,0.1,0.3,0.2,0.5,0.4,0,0.1,0.8,0
amazement,0.1,0,0.3,0.2,0,0.1,1,0,0.3
amusement,0.3,0,0,0,0,0.3,1,0,0.7
anger,0,0.8,0,0.2,1,0,0,0.3,0
angry,0,0.8,0,0.1,1,0,0,0.2,0
anguish,0,0.5,0.1,0.4,0.5,0,0.2,0.6,0
annoyance,0,0.3,0,0.1,0.7,0,0,0.2,0
anticipation,0.1,0,0.1,0,0,0.1,1,0,0.7
anxiety,0,0,0.4,0.5,0,0,0.4,0,0.2
apprehension,0,0,0.4,0.4,0.5,0,0.1,0,0
assertive,0.1,0,0.4,0,0,0,0,0,0.4
assured,0.2,0,1,0.1,0,0.1,0,0,0.7
astonishment,0.1,0,0.3,0.1,0,0,1,0,0.3
attachment,1,0,0.4,0.1,0,0.4,0,0,0.8
attraction,0.8,0,0.3,0.3,0,0.1,0,0,0.8
awe,0.2,0,0.6,0.9,0,0,1,0,0
beleaguered,0,0.1,0.3,0.8,0,0,0,0,0
bewitched,0.4,0,0,0,0,0,0.2,0,0.2
bitterness,0,0.7,0,0.2,0.8,0,0,0,0
bliss,0.4,0,0,0,0,0.3,0,0,1
blue,0,0.3,0,0,0,0,0,0.8,0
boredom,0,0.5,0,0,0.2,0,0,0.3,0
calculating,0,0,0,0,0,0,0,0,0
calm,0.2,0.3,0,0.2,0,0,0,0,1
capricious,0,0,0,0,0,0,0.4,0,0
caring,0.9,0,0,0,0,0,0,0,0.7
cautious,0,0,0,0.5,0,0,0,0,0
charmed,0.7,0,0.3,0,0,0,0,0,0.2
cheerful,0.3,0,0.2,0,0,0.4,0,0,0.5
closeness,0.5,0,0.2,0,0,0.3,0,0,0.5
compassion,0.3,0,0,0,0,0,0,0.7,0
complacent,0.2,0,0.2,0,0,0,0,0,0.8
compliant,0,0,0,0.4,0,0,0,0,0.2
composed,0,0.3,0,0.3,0,0,0,0.2,0
conceited,0,0,0,0,0.2,0,0,0,0.2
concerned,0.5,0,0,0.4,0,0,0,0,0.3
contempt,0,0.6,0,0,0,0,0,0.3,0
content,0,0,0.2,0.3,0,0,0,0,0.2
contentment,0.2,0,0.7,0,0,0,0,0,0.8
crabby,0,0.8,0,0,0.7,0,0,0.3,0
crazed,0.2,0.3,0.3,0.3,0.4,0,0.2,0,0
crazy,0,0.3,0,0.2,0.5,0,0,0.2,0
cross,0,0.4,0,0,0.8,0,0,0.3,0
cruel,0,0.5,0,0.4,0.3,0,0,0.4,0
defeated,0,0.6,0,0.2,0.3,0,0,0.4,0
defiance,0,0.4,0,0.2,0.5,0,0,0.5,0
delighted,0.1,0,0,0,0,0.3,0,0,0.4
dependence,0,0.2,0,0.2,0,0,0,0.4,0.3
depressed,0,0.4,0,0.3,0,0,0,0.4,0
desire,0.3,0,0,0,0,0,0,0,0.2
disappointment,0,0.5,0,0,0.3,0,0,0.7,0
disapproval,0,0.4,0,0.3,0.4,0,0,0.7,0
discontent,0,0,0,0,0,0,0,1,0
disenchanted,0,0.4,0,0.2,0.2,0,0,0.7,0
disgust,0,1,0,0.3,0.4,0,0,0.8,0
disillusioned,0,0.4,0,0,0.5,0,0,0.6,0
dislike,0,0.3,0,0.1,0.2,0,0,0.3,0
dismay,0,0,0,0,0.3,0,0,0.5,0
displeasure,0,0.2,0,0,0.3,0,0,0.5,0
dissatisfied,0,0.2,0,0,0.5,0,0,0.6,0
distraction,0.3,0,0,0,0,0,0.2,0,0.3
distress,0,0,0,0.2,0.2,0,0,0.4,0
disturbed,0,0.3,0,0.2,0.1,0,0,0.6,0
dread,0,0,0,1,0,0,0,0.3,0
eager,0.2,0,0,0,0,0,0.4,0,0.4
earnest,0.1,0,0,0,0,0,0.1,0,0.2
easy-going,0.2,0,0,0,0,0,0,0,0.5
ecstasy,0.2,0,0,0,0,0.3,0.2,0,0.8
ecstatic,0.2,0,0,0,0,0.2,0.2,0,0.8
elation,0.1,0,0,0,0,0.2,0,0,0.6
embarrassment,0,0.4,0,0.4,0.2,0,0,0,0
emotion,1,1,1,1,1,1,1,1,1
emotional,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
enamored,0.3,0,0,0,0,0,0,0,0.5
