words,love,disgust,courage,fear,anger,laughter,surprise,sorrow,peace
acceptance,1,0,1,0,0,0,0,0,0
admiration,0.8,0,0.3,0,0,0.2,0.1,0,0.8
adoration,0.9,0,0.1,0,0,0.3,0.1,0,0.9
affection,1,0,0,0,0,0.4,0.1,0,1
afraid,0,0.3,0.3,1,0.3,0,0,0.3,0
aggravation,0.1,0.2,0.6,0.3,0.2,0,0,0,0.2
aggressive,0,0.4,0.3,0.2,1,0,0,0,0
agitation,0,0.5,0.2,0.3,0.4,0,0,0.1,0
agony,0,0.7,0.5,0.5,0.5,0,0,0.3,0
agreeable,0.4,0,0.8,0,0,0.2,0.1,0,0.8
alarm,0,0.3,0.1,0.7,0.2,0,0.1,0.2,0
alienation,0.1,0.3,0.2,0.5,0.4,0,0.1,0.8,0
amazement,0.1,0,0.3,0.2,0,0.1,1,0,0.3
amusement,0.3,0,0,0,0,0.3,1,0,0.7
anger,0,0.8,0,0.2,1,0,0,0.3,0
angry,0,0.8,0,0.1,1,0,0,0.2,0
anguish,0,0.5,0.1,0.4,0.5,0,0.2,0.6,0
annoyance,0,0.3,0,0.1,0.7,0,0,0.2,0
anticipation,,,,,,,,,
anxiety,,,,,,,,,
apprehension,,,,,,,,,
assertive,,,,,,,,,
assured,,,,,,,,,
astonishment,,,,,,,,,
attachment,,,,,,,,,
attraction,,,,,,,,,
awe,,,,,,,,,
beleaguered,,,,,,,,,
bewitched,,,,,,,,,
bitterness,,,,,,,,,
bliss,,,,,,,,,
blue,,,,,,,,,
boredom,,,,,,,,,
calculating,,,,,,,,,
calm,,,,,,,,,
capricious,,,,,,,,,
caring,,,,,,,,,
cautious,,,,,,,,,
charmed,,,,,,,,,
cheerful,,,,,,,,,
closeness,,,,,,,,,
compassion,,,,,,,,,
complacent,,,,,,,,,
compliant,,,,,,,,,
composed,,,,,,,,,
conceited,,,,,,,,,
concerned,,,,,,,,,
contempt,,,,,,,,,
content,,,,,,,,,
contentment,,,,,,,,,
crabby,,,,,,,,,
crazed,,,,,,,,,
crazy,,,,,,,,,
cross,,,,,,,,,
cruel,,,,,,,,,
defeated,,,,,,,,,
defiance,,,,,,,,,
delighted,,,,,,,,,
dependence,,,,,,,,,
depressed,,,,,,,,,
desire,,,,,,,,,
disappointment,,,,,,,,,
disapproval,,,,,,,,,
discontent,,,,,,,,,
disenchanted,,,,,,,,,
disgust,,,,,,,,,
disillusioned,,,,,,,,,
dislike,,,,,,,,,
dismay,,,,,,,,,
displeasure,,,,,,,,,
dissatisfied,,,,,,,,,
distraction,,,,,,,,,
distress,,,,,,,,,
disturbed,,,,,,,,,
dread,,,,,,,,,
eager,,,,,,,,,
earnest,,,,,,,,,
easy-going,,,,,,,,,
ecstasy,,,,,,,,,
ecstatic,,,,,,,,,
elation,,,,,,,,,
embarrassment,,,,,,,,,
emotion,,,,,,,,,
emotional,,,,,,,,,
enamored,,,,,,,,,
enchanted,,,,,,,,,
enjoyment,,,,,,,,,
enraged,,,,,,,,,
enraptured,,,,,,,,,
enthralled,,,,,,,,,
enthusiasm,,,,,,,,,
envious,,,,,,,,,
envy,,,,,,,,,
equanimity,,,,,,,,,
euphoria,,,,,,,,,
exasperation,,,,,,,,,
excited,,,,,,,,,
exhausted,,,,,,,,,
extroverted,,,,,,,,,
exuberant,,,,,,,,,
fascinated,,,,,,,,,
fatalistic,,,,,,,,,
fear,,,,,,,,,
fearful,,,,,,,,,
ferocity,,,,,,,,,
flummoxed,,,,,,,,,
flustered,,,,,,,,,
fondness,,,,,,,,,
fright,,,,,,,,,
frightened,,,,,,,,,
frustration,,,,,,,,,
furious,,,,,,,,,
fury,,,,,,,,,
generous,,,,,,,,,
glad,,,,,,,,,
gloating,,,,,,,,,
gloomy,,,,,,,,,
glum,,,,,,,,,
greedy,,,,,,,,,
grief,,,,,,,,,
grim,,,,,,,,,
grouchy,,,,,,,,,
grumpy,,,,,,,,,
guilt,,,,,,,,,
happiness,,,,,,,,,
happy,,,,,,,,,
harried,,,,,,,,,
homesick,,,,,,,,,
hopeless,,,,,,,,,
horror,,,,,,,,,
hostility,,,,,,,,,
humiliation,,,,,,,,,
hurt,,,,,,,,,
hysteria,,,,,,,,,
infatuated,,,,,,,,,
insecurity,,,,,,,,,
insulted,,,,,,,,,
interested,,,,,,,,,
introverted,,,,,,,,,
irritation,,,,,,,,,
isolation,,,,,,,,,
jaded,,,,,,,,,
jealous,,,,,,,,,
jittery,,,,,,,,,
jolliness,,,,,,,,,
jolly,,,,,,,,,
joviality,,,,,,,,,
joy,,,,,,,,,
jubilation,,,,,,,,,
keen,,,,,,,,,
kind,,,,,,,,,
kindhearted,,,,,,,,,
kindly,,,,,,,,,
laid back,,,,,,,,,
lazy,,,,,,,,,
like,,,,,,,,,
liking,,,,,,,,,
loathing,,,,,,,,,
loneliness,,,,,,,,,
lonely,,,,,,,,,
longing,,,,,,,,,
love,,,,,,,,,
lulled,,,,,,,,,
lust,,,,,,,,,
